location	animal	user	sn	an	datatype	start	end	startreason	endreason	entct	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	stdate	sttime
OPF01	animal  1	VID\Videotrack_user	1	0	track	0	10	Beginning of session	End of period	1	10	0.7	1.1	0	0	0	10	9.3	79.7	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	1	track	0	10	Beginning of session	End of period	1	10	0.7	1.1	0	0	0	10	9.3	79.7	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	2	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	3	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	4	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	5	track	0	10	Beginning of session	End of period	2	2	0.1	0.4	0	0	0	2	1.7	20	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	6	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	7	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	8	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	9	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	10	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	11	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	12	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	13	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	14	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	15	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	16	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	17	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	18	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	19	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	20	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	21	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	22	track	0	10	Beginning of session	End of period	1	10	0.7	1.1	0	0	0	10	9.3	79.7	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	23	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	24	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	25	track	0	10	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:09
OPF01	animal  1	VID\Videotrack_user	1	0	track	10	20	End of period	End of period	0	10	0.8	0.8	0	0	0	10	9.2	84.9	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	1	track	10	20	End of period	End of period	0	10	0.8	0.8	0	0	0	10	9.2	84.9	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	2	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	3	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	4	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	5	track	10	20	End of period	End of period	2	0	0	0	0	0	0	0	0.2	3.5	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	6	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	7	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	8	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	9	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	10	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	11	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	12	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	13	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	14	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	15	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	16	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	17	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	18	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	19	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	20	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	21	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	22	track	10	20	End of period	End of period	0	6	0.4	0.6	0	0	0	6	7.1	68.8	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	23	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	24	track	10	20	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	25	track	10	20	End of period	End of period	1	4	0.3	0.2	0	0	0	4	2.1	15.5	27/09/2018	13:14:19
OPF01	animal  1	VID\Videotrack_user	1	0	track	20	30	End of period	End of period	0	13	0.9	1.6	0	0	0	13	9.1	92.6	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	1	track	20	30	End of period	End of period	0	13	0.9	1.6	0	0	0	13	9.1	92.6	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	2	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	3	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	4	track	20	30	End of period	End of period	1	0	0	0	0	0	0	0	0.1	1.6	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	5	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	6	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	7	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	8	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	9	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	10	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	11	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	12	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	13	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	14	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	15	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	16	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	17	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	18	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	19	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	20	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	21	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	22	track	20	30	End of period	End of period	1	8	0.5	0.9	0	0	0	8	3.8	30	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	23	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	24	track	20	30	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	25	track	20	30	End of period	End of period	0	5	0.4	0.6	0	0	0	5	5.3	61.5	27/09/2018	13:14:29
OPF01	animal  1	VID\Videotrack_user	1	0	track	30	40	End of period	End of period	0	14	1.1	0.7	0	0	0	14	8.9	63.9	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	1	track	30	40	End of period	End of period	0	14	1.1	0.7	0	0	0	14	8.9	63.9	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	2	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	3	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	4	track	30	40	End of period	End of period	2	3	0.3	0	0	0	0	3	1	10.8	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	5	track	30	40	End of period	End of period	2	0	0	0	0	0	0	0	0.7	8.9	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	6	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	7	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	8	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	9	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	10	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	11	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	12	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	13	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	14	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	15	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	16	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	17	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	18	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	19	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	20	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	21	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	22	track	30	40	End of period	End of period	0	14	1.1	0.7	0	0	0	14	8.9	63.9	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	23	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	24	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	25	track	30	40	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:39
OPF01	animal  1	VID\Videotrack_user	1	0	track	40	50	End of period	End of period	0	6	0.6	1.1	0	0	0	6	9.5	95.7	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	1	track	40	50	End of period	End of period	0	6	0.6	1.1	0	0	0	6	9.5	95.7	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	2	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	3	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	4	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	5	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	6	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	7	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	8	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
OPF01	animal  1	VID\Videotrack_user	1	9	track	40	50	End of period	End of period	0	0	0	0	0	0	0	0	0	0	27/09/2018	13:14:49
