location	animal	user	sn	vtename	expdur	period	smllarthr	inasmlthr	jitter	starttyp	comment	an	start	noscnt	nosdur	smldur	smldist	lardur	lardist
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	0			48.2	351.5	3.8	126.4
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	0	0	0				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	0	2	1				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	0			44.4	234.5	0	0
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	0	0	0				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	0	0	0				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	0			51	399.9	3.3	125
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	0	0	0				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	0	0	0				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	0			49.5	483.4	7.5	269.1
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	0	0	0				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	0	3	1.5				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	60			54.1	549.9	3.7	124.8
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	60	8	1.9				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	60	1	1.7				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	60			51.6	361.1	0.5	23
