location	animal	user	sn	an	datatype	start	end	startreason	endreason	entct	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	stdate	sttime
OPF01	animal  1	VID\Videotrack_user	1	0	track	0	60	Beginning of session	End of period	1	42	5	0	45	54.9	453.7	2	0.1	1.6	25/09/2017	14:04:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	0	60	Beginning of session	End of period	1	42	5	0	45	54.9	453.7	2	0.1	1.6	25/09/2017	14:04:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	0	60	Beginning of session	End of period	1	0	0	0	0	0.7	13.4	0	0	0	25/09/2017	14:04:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	0	60	Beginning of session	End of period	1	83	23.9	0	84	36.1	143.5	0	0	0	25/09/2017	14:04:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	0	60	Beginning of session	End of period	1	83	23.9	0	84	36.1	143.5	0	0	0	25/09/2017	14:04:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	0	60	Beginning of session	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:04:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	0	60	Beginning of session	End of period	1	78	23.1	0	79	36.9	166.3	0	0	0	25/09/2017	14:04:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	0	60	Beginning of session	End of period	1	78	23.1	0	79	36.9	166.3	0	0	0	25/09/2017	14:04:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	0	60	Beginning of session	End of period	2	0	0	0	0	1.2	6.9	0	0	0	25/09/2017	14:04:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	0	60	Beginning of session	End of period	1	79	18.4	0	80	41.6	173.8	0	0	0	25/09/2017	14:04:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	0	60	Beginning of session	End of period	1	79	18.4	0	80	41.6	173.8	0	0	0	25/09/2017	14:04:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	0	60	Beginning of session	End of period	1	1	0	0	2	2.8	12.1	0	0	0	25/09/2017	14:04:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	60	120	End of period	End of period	0	99	20.9	0	98	39.1	163.8	0	0	0	25/09/2017	14:05:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	60	120	End of period	End of period	0	99	20.9	0	98	39.1	163.8	0	0	0	25/09/2017	14:05:36
OPF01	animal  1	VID\Videotrack_user	1	2	track	60	120	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:05:36
OPF02	animal  2	VID\Videotrack_user	1	0	track	60	120	End of period	End of period	0	77	23.4	0	76	36.6	156.2	0	0	0	25/09/2017	14:05:36
OPF02	animal  2	VID\Videotrack_user	1	1	track	60	120	End of period	End of period	0	77	23.4	0	76	36.6	156.2	0	0	0	25/09/2017	14:05:36
OPF02	animal  2	VID\Videotrack_user	1	2	track	60	120	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:05:36
OPF03	animal  3	VID\Videotrack_user	1	0	track	60	120	End of period	End of period	0	73	25.5	0	72	34.4	144.7	0	0	0	25/09/2017	14:05:36
OPF03	animal  3	VID\Videotrack_user	1	1	track	60	120	End of period	End of period	0	73	25.5	0	72	34.4	144.7	0	0	0	25/09/2017	14:05:36
OPF03	animal  3	VID\Videotrack_user	1	2	track	60	120	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:05:36
OPF04	animal  4	VID\Videotrack_user	1	0	track	60	120	End of period	End of period	0	115	21.1	0	114	38.9	159.6	0	0	0	25/09/2017	14:05:36
OPF04	animal  4	VID\Videotrack_user	1	1	track	60	120	End of period	End of period	0	115	21.1	0	114	38.9	159.6	0	0	0	25/09/2017	14:05:36
OPF04	animal  4	VID\Videotrack_user	1	2	track	60	120	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:05:36
OPF01	animal  1	VID\Videotrack_user	1	0	track	120	180	End of period	End of period	0	79	15.5	0	85	44.1	273	5	0.3	8.9	25/09/2017	14:06:36
OPF01	animal  1	VID\Videotrack_user	1	1	track	120	180	End of period	End of period	0	79	15.5	0	85	44.1	273	5	0.3	8.9	25/09/2017	14:06:36
